Frame DE_Pauli DE_Elstat DE_Orb	DE_Disp	DE_int
106	74.02	-68.49	-40.26	-58.42	-93.15
107	104.06	-87.04	-48.03	-60.38	-91.39
108	146.56	-112.11	-58.00	-66.92	-90.47
109	135.22	-103.86	-58.39	-67.91	-94.94
110	124.18	-102.21	-54.00	-67.49	-99.52
111	155.13	-118.61	-60.29	-71.04	-94.81
112	135.07	-105.51	-56.94	-67.60	-94.98
113	139.25	-113.22	-56.31	-67.17	-97.45
114	136.78	-110.76	-56.06	-66.89	-96.93
115	138.37	-106.40	-57.82	-67.58	-93.43
116	175.39	-131.60	-65.49	-70.70	-92.40
117	146.41	-116.06	-57.04	-68.55	-95.24
118	139.27	-111.01	-56.96	-66.11	-94.81
119	176.27	-131.44	-64.85	-70.05	-90.07
120	151.82	-115.01	-60.59	-67.96	-91.74
121	130.16	-106.12	-54.60	-65.91	-96.47
122	143.65	-115.24	-55.70	-68.12	-95.41
123	181.87	-131.66	-68.23	-70.29	-88.31
124	126.26	-99.37	-54.08	-65.39	-92.58
125	129.63	-107.42	-55.75	-65.85	-99.39
126	153.30	-125.03	-60.61	-68.96	-101.30
127	139.13	-109.45	-57.77	-65.81	-93.90
128	174.67	-128.36	-67.08	-70.73	-91.50
129	144.79	-111.07	-59.27	-66.11	-91.66
130	119.44	-96.17	-52.56	-63.72	-93.01
131	191.01	-138.76	-68.26	-70.14	-86.15
132	153.98	-114.98	-61.38	-68.58	-90.96
133	119.68	-100.07	-51.02	-65.11	-96.52
134	102.96	-88.50	-48.98	-63.48	-98.00
135	124.26	-96.95	-52.73	-64.72	-90.14
136	196.58	-136.98	-69.45	-71.98	-81.83
137	112.84	-91.82	-51.47	-65.97	-96.42
138	174.21	-128.63	-68.38	-71.32	-94.12
139	99.55	-84.66	-47.83	-64.25	-97.19
140	118.52	-90.16	-53.04	-64.93	-89.61
141	135.65	-105.88	-55.15	-65.95	-91.33
142	92.94	-80.05	-45.63	-61.89	-94.63
143	141.24	-112.16	-57.05	-68.75	-96.72
144	163.64	-120.46	-62.77	-70.75	-90.34
145	125.39	-99.94	-54.92	-65.91	-95.38
146	105.46	-90.78	-49.23	-62.94	-97.49
147	139.14	-106.75	-57.36	-63.85	-88.82
148	152.40	-111.70	-62.36	-67.87	-89.53
149	145.41	-111.01	-60.75	-67.96	-94.31
150	140.73	-112.29	-58.62	-68.93	-99.11
151	125.31	-101.16	-53.40	-64.59	-93.84
152	121.20	-95.95	-53.37	-63.23	-91.35
153	169.32	-121.28	-66.14	-68.21	-86.31
154	145.68	-113.11	-59.25	-68.66	-95.34
155	157.28	-120.09	-62.31	-71.04	-96.16
156	143.51	-112.38	-57.78	-65.64	-92.29
157	110.00	-92.46	-49.01	-61.76	-93.23
158	105.01	-88.10	-46.57	-60.64	-90.30
159	140.55	-111.07	-57.86	-69.44	-97.82
160	192.84	-146.18	-72.17	-76.95	-102.46
161	159.79	-121.37	-64.52	-72.57	-98.67
162	143.85	-112.24	-57.29	-66.91	-92.59
